,listing_id,cancellation_policy,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights
0,241032,moderate,85.0,,,,,5.0,1,365
1,953595,strict,150.0,1000.0,3000.0,100.0,40.0,0.0,2,90
2,3308979,strict,975.0,,,1000.0,300.0,25.0,4,30
3,7421966,flexible,100.0,650.0,2300.0,,,0.0,1,1125
4,278830,strict,450.0,,,700.0,125.0,15.0,1,1125
5,5956968,strict,120.0,800.0,,,40.0,30.0,1,6
6,1909058,moderate,80.0,575.0,,150.0,,10.0,3,14
7,856550,strict,60.0,360.0,,150.0,25.0,0.0,2,7
8,4948745,strict,90.0,500.0,1700.0,,,0.0,3,1125
9,2493658,strict,150.0,1000.0,3000.0,100.0,40.0,0.0,2,365
10,175576,moderate,95.0,595.0,,,15.0,15.0,3,7
11,4454295,strict,99.0,800.0,2000.0,500.0,150.0,0.0,3,1125
12,3883392,moderate,245.0,1575.0,5800.0,300.0,95.0,0.0,3,14
13,8889257,strict,165.0,,5000.0,400.0,85.0,20.0,2,1125
14,5680462,strict,461.0,,,1500.0,300.0,50.0,3,29
15,8988178,strict,109.0,,,,89.0,0.0,3,15
16,3245876,moderate,66.0,,,100.0,35.0,25.0,1,10
17,4933447,moderate,99.0,,,100.0,15.0,0.0,2,14
18,7735464,flexible,200.0,,,,,0.0,1,1125
19,6291829,flexible,700.0,4100.0,,500.0,250.0,0.0,3,30
20,9218403,flexible,110.0,750.0,2500.0,,,0.0,1,1125
21,4125779,moderate,99.0,568.0,2029.0,,15.0,10.0,1,1125
22,8942678,flexible,450.0,3000.0,,,,0.0,4,1125
23,10106055,flexible,75.0,350.0,,,,0.0,1,1125
24,6362362,moderate,600.0,,,500.0,150.0,0.0,3,1125
25,3544550,strict,450.0,,,500.0,200.0,50.0,4,1125
26,9025039,flexible,150.0,,,250.0,35.0,0.0,1,1125
27,3200646,strict,45.0,360.0,,150.0,25.0,0.0,2,7
28,8859380,moderate,300.0,,,500.0,125.0,0.0,2,1125
29,4520099,strict,80.0,500.0,,,65.0,50.0,2,1125
30,2481869,strict,175.0,1000.0,3200.0,,40.0,0.0,2,365
31,1110749,strict,325.0,,,500.0,100.0,60.0,2,1125
32,5978498,flexible,175.0,699.0,2388.0,200.0,80.0,0.0,4,120
33,5021081,strict,222.0,1325.0,4650.0,500.0,250.0,75.0,2,1125
34,1686930,strict,159.0,,,250.0,99.0,0.0,1,1125
35,7680289,moderate,125.0,800.0,2700.0,,50.0,25.0,2,365
36,7207641,strict,348.0,2500.0,,750.0,150.0,20.0,3,1125
37,5062445,flexible,45.0,450.0,1500.0,,,0.0,1,1125
38,8925878,moderate,150.0,950.0,2950.0,,50.0,25.0,2,365
39,6389657,flexible,80.0,,,,20.0,0.0,3,1125
40,4218733,moderate,110.0,,,100.0,40.0,15.0,2,1125
41,2715623,strict,148.0,,,,100.0,20.0,3,365
42,1392332,moderate,350.0,2100.0,,500.0,100.0,0.0,2,30
43,7308567,moderate,150.0,,,,50.0,0.0,2,1125
44,6575380,flexible,150.0,540.0,1911.0,,,0.0,1,1125
45,6004058,flexible,100.0,,,,,0.0,1,1125
46,9550869,strict,349.0,,,,200.0,0.0,1,1125
47,8515408,moderate,110.0,700.0,,,50.0,0.0,2,1125
48,5383192,moderate,160.0,1140.0,,100.0,55.0,25.0,2,1125
49,1112092,moderate,130.0,1000.0,2700.0,140.0,75.0,25.0,3,1125
50,7772661,moderate,99.0,,,,50.0,50.0,1,1125
51,9254900,flexible,100.0,,2000.0,,40.0,0.0,1,1125
52,7714294,moderate,137.0,815.0,,,20.0,20.0,2,1125
53,10310373,flexible,20.0,,,,,0.0,1,1125
54,9368342,strict,150.0,,,500.0,50.0,30.0,4,1125
55,6361863,moderate,145.0,,,100.0,30.0,10.0,2,1125
56,8105221,flexible,80.0,,,,,0.0,1,1125
57,3269390,moderate,95.0,,,200.0,60.0,0.0,3,1125
58,4566393,moderate,400.0,2100.0,7500.0,750.0,120.0,20.0,2,1125
59,9282409,moderate,85.0,450.0,,,,0.0,2,1125
60,8095168,flexible,70.0,,,,20.0,0.0,1,1125
61,2746782,strict,90.0,540.0,,150.0,25.0,0.0,2,14
62,6424982,flexible,80.0,,,,,15.0,1,6
