,listing_id,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
0,241032,207,95.0,10.0,10.0,10.0,10.0,9.0,10.0,4.07
1,953595,43,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1.48
2,3308979,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.15
3,7421966,0,,,,,,,,
4,278830,38,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0.89
5,5956968,17,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2.45
6,1909058,58,99.0,10.0,10.0,10.0,10.0,10.0,10.0,2.46
7,856550,173,97.0,10.0,10.0,10.0,10.0,9.0,10.0,4.73
8,4948745,8,97.0,10.0,9.0,10.0,9.0,10.0,10.0,1.22
9,2493658,32,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1.55
10,175576,181,97.0,10.0,10.0,10.0,10.0,10.0,10.0,3.33
11,4454295,8,97.0,10.0,10.0,9.0,10.0,10.0,9.0,0.98
12,3883392,13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.92
13,8889257,3,100.0,10.0,10.0,9.0,9.0,10.0,10.0,3.0
14,5680462,18,98.0,9.0,10.0,10.0,10.0,10.0,10.0,2.65
15,8988178,1,80.0,8.0,10.0,8.0,8.0,8.0,8.0,0.73
16,3245876,84,95.0,10.0,9.0,10.0,10.0,10.0,9.0,4.55
17,4933447,45,98.0,10.0,10.0,10.0,10.0,10.0,10.0,4.58
18,7735464,0,,,,,,,,
19,6291829,5,85.0,10.0,9.0,9.0,9.0,8.0,8.0,0.82
20,9218403,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
21,4125779,11,84.0,9.0,9.0,9.0,9.0,10.0,8.0,0.71
22,8942678,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.86
23,10106055,0,,,,,,,,
24,6362362,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.18
25,3544550,8,100.0,10.0,10.0,9.0,10.0,10.0,10.0,1.3
26,9025039,0,,,,,,,,
27,3200646,80,95.0,10.0,10.0,10.0,10.0,9.0,9.0,4.38
28,8859380,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.47
29,4520099,4,85.0,8.0,9.0,7.0,10.0,9.0,9.0,0.33
30,2481869,38,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1.86
31,1110749,68,92.0,9.0,9.0,10.0,9.0,10.0,9.0,2.18
32,5978498,8,88.0,9.0,9.0,9.0,9.0,10.0,9.0,1.31
33,5021081,5,75.0,8.0,9.0,8.0,9.0,9.0,8.0,0.99
34,1686930,62,97.0,10.0,10.0,10.0,10.0,10.0,9.0,2.27
35,7680289,19,95.0,10.0,10.0,10.0,10.0,10.0,10.0,4.35
36,7207641,5,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.97
37,5062445,7,97.0,9.0,8.0,10.0,10.0,10.0,10.0,0.9
38,8925878,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.83
39,6389657,11,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.98
40,4218733,71,90.0,10.0,8.0,10.0,10.0,10.0,9.0,4.7
41,2715623,9,91.0,9.0,10.0,9.0,9.0,10.0,10.0,0.46
42,1392332,41,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1.38
43,7308567,18,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.35
44,6575380,9,100.0,10.0,10.0,9.0,9.0,10.0,10.0,1.99
45,6004058,20,92.0,9.0,9.0,9.0,9.0,9.0,9.0,2.29
46,9550869,0,,,,,,,,
47,8515408,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.06
48,5383192,1,100.0,8.0,10.0,10.0,10.0,10.0,10.0,0.16
49,1112092,26,95.0,10.0,10.0,9.0,10.0,10.0,9.0,0.8
50,7772661,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0
51,9254900,0,,,,,,,,
52,7714294,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.64
53,10310373,0,,,,,,,,
54,9368342,0,,,,,,,,
55,6361863,44,94.0,10.0,10.0,10.0,10.0,10.0,9.0,5.64
56,8105221,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.5
57,3269390,77,98.0,10.0,10.0,10.0,10.0,10.0,10.0,4.12
58,4566393,0,,,,,,,,
59,9282409,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.3
60,8095168,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.25
61,2746782,109,97.0,10.0,10.0,10.0,10.0,9.0,10.0,5.24
62,6424982,52,92.0,9.0,9.0,10.0,10.0,10.0,9.0,7.06
63,762029,191,97.0,10.0,10.0,10.0,10.0,9.0,10.0,4.96
64,8988281,0,,,,,,,,
65,7077910,9,91.0,9.0,9.0,10.0,10.0,10.0,9.0,1.82
66,3772674,65,98.0,10.0,10.0,10.0,10.0,10.0,10.0,3.94
67,7021906,5,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1.38
68,7618605,5,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1.01
69,10234558,0,,,,,,,,
70,7021702,0,,,,,,,,
71,7680439,16,93.0,9.0,10.0,10.0,10.0,10.0,10.0,3.29
72,4258515,23,77.0,8.0,8.0,9.0,9.0,9.0,8.0,3.07
73,1148517,45,97.0,9.0,9.0,10.0,10.0,10.0,9.0,1.44
74,2487892,75,94.0,10.0,9.0,10.0,10.0,10.0,10.0,3.46
75,3038772,86,94.0,9.0,10.0,10.0,10.0,10.0,10.0,4.43
76,699460,151,97.0,10.0,10.0,10.0,10.0,10.0,10.0,3.85
77,4085439,6,92.0,10.0,10.0,10.0,10.0,10.0,8.0,0.38
78,8053990,16,94.0,10.0,10.0,10.0,10.0,10.0,10.0,3.75
79,7011773,0,,,,,,,,
80,2467550,0,,,,,,,,
81,2686374,165,95.0,9.0,10.0,10.0,10.0,10.0,9.0,7.84
82,1956274,48,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.11
83,8537192,0,,,,,,,,
84,5919096,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.26
85,6516529,0,,,,,,,,
86,3294243,27,93.0,10.0,10.0,10.0,10.0,10.0,9.0,1.48
87,10210971,0,,,,,,,,
88,3584790,0,,,,,,,,
89,1266459,9,98.0,10.0,10.0,10.0,10.0,9.0,9.0,0.3
90,9098059,0,,,,,,,,
91,408526,0,,,,,,,,
92,4118282,88,95.0,10.0,10.0,10.0,10.0,9.0,9.0,6.07
